epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2889,2.79196,11.8177,0.70924,4.95207,3.32732,0,0,0,0,0,0,0,0,3.7669,11.8377,0.69333,5.29466,3.98462,0.00014,0.00014,0.00014
2,33.3791,0.97166,11.7635,0.69879,1.02286,1.66082,0.96847,1,0.995,0.83545,0,0,0,0,0.7617,11.9844,0.67743,0.73584,2.26742,0.00029703,0.00029703,0.00029703
3,36.1852,0.42677,11.4702,0.62645,0.31124,1.23281,0.94413,0.9942,0.98859,0.85296,0,0,0,0,0.66478,11.6534,0.65994,1.24623,2.15649,0.000450892,0.000450892,0.000450892
4,38.8712,0.4013,11.2771,0.56003,0.31479,1.16346,0.8741,0.81694,0.92695,0.7126,0,0,0,0,0.80008,11.584,0.77665,1.53239,1.63684,0.000601586,0.000601586,0.000601586
5,41.5169,0.43529,10.9658,0.51701,0.33443,1.15229,0.8391,0.97059,0.97519,0.82205,0,0,0,0,0.66231,11.7681,0.72609,2.53286,1.41067,0.000749112,0.000749112,0.000749112
6,44.179,0.38824,10.3186,0.43956,0.3088,1.14556,0.08553,0.78678,0.08934,0.05596,0,0,0,0,1.44625,11.6798,0.57668,25.4946,3.19272,0.00089347,0.00089347,0.00089347
7,46.7244,0.41907,10.0292,0.40564,0.3164,1.16591,0.12709,0.97059,0.13313,0.11127,0,0,0,0,0.66983,11.8927,0.38901,18.0897,1.52627,0.00103466,0.00103466,0.00103466
8,49.3356,0.37503,9.68136,0.36389,0.30698,1.12766,0.41787,0.67647,0.40726,0.27943,0,0,0,0,1.15551,11.2055,0.44919,3.31672,2.20048,0.00117268,0.00117268,0.00117268
9,51.8636,0.38514,9.3522,0.36419,0.29575,1.13841,0.82127,0.38235,0.4141,0.29013,0,0,0,0,2.05236,11.7176,1.16979,2.72761,6.97039,0.00130754,0.00130754,0.00130754
10,54.4097,0.39085,9.34116,0.37321,0.31695,1.14542,0.96774,0.88235,0.985,0.85561,0,0,0,0,0.45369,11.7336,0.81708,2.88355,1.0589,0.00143922,0.00143922,0.00143922
11,57.0104,0.36636,9.00006,0.32362,0.31298,1.1266,0.76744,0.97059,0.80457,0.57105,0,0,0,0,0.74281,11.8761,0.5231,7.45879,2.03355,0.00156774,0.00156774,0.00156774
12,59.5452,0.36058,8.60046,0.39782,0.3122,1.11266,0.67135,0.85294,0.77816,0.57244,0,0,0,0,1.08226,11.8001,0.64695,1.57194,1.92845,0.00169309,0.00169309,0.00169309
13,62.0996,0.39526,8.33372,0.35249,0.3247,1.14615,0.66411,0.67647,0.77906,0.51872,0,0,0,0,1.13148,11.58,0.44528,2.33034,1.94576,0.0017624,0.0017624,0.0017624
14,64.6272,0.41688,8.17134,0.3431,0.331,1.15,0.64012,0.97059,0.84347,0.62044,0,0,0,0,0.79667,10.34,0.41755,2.30545,1.54842,0.0017426,0.0017426,0.0017426
15,67.1581,0.36189,7.42608,0.37806,0.30712,1.10837,0.54383,0.5,0.48593,0.26003,0,0,0,0,1.65211,11.2032,0.48753,2.0224,2.76114,0.0017228,0.0017228,0.0017228
16,69.6671,0.34172,6.95166,0.3195,0.29434,1.08124,0.33591,0.88235,0.4134,0.24682,0,0,0,0,0.7664,11.3597,0.41447,3.81869,1.59571,0.001703,0.001703,0.001703
