epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.675,1.00421,0.90557,1.0236,0.80518,0.75224,0.79609,0.53635,0.94456,0.56562,1.03445,0.000415763,0.000415763,0.000415763
2,525.035,0.98274,0.59667,1.02896,0.86306,0.77939,0.83376,0.5739,0.90081,0.5224,1.01935,0.000806676,0.000806676,0.000806676
3,765.963,0.97101,0.56861,1.02712,0.81994,0.80669,0.83372,0.57692,0.89719,0.50845,1.01798,0.00117181,0.00117181,0.00117181
4,1007.52,0.96374,0.5591,1.02399,0.87725,0.81414,0.86195,0.59305,0.89073,0.48605,1.01569,0.00113398,0.00113398,0.00113398
5,1248.18,0.95196,0.53877,1.02066,0.86753,0.81861,0.85722,0.59495,0.89018,0.47858,1.01496,0.00109531,0.00109531,0.00109531
6,1489.02,0.94088,0.52581,1.01584,0.86658,0.81863,0.86076,0.60346,0.87894,0.45782,1.01817,0.00105664,0.00105664,0.00105664
7,1729.58,0.93018,0.51399,1.01464,0.85097,0.8263,0.8612,0.60402,0.88022,0.45728,1.01272,0.00101797,0.00101797,0.00101797
8,1970.76,0.92161,0.50107,1.01052,0.86448,0.84049,0.87062,0.61518,0.85611,0.43904,1.01256,0.000979297,0.000979297,0.000979297
9,2211.75,0.91353,0.49507,1.0091,0.8727,0.84264,0.87487,0.61617,0.85493,0.42965,1.01145,0.000940625,0.000940625,0.000940625
10,2452.26,0.90759,0.48836,1.00737,0.88354,0.84475,0.87452,0.61757,0.85625,0.42734,1.01223,0.000901953,0.000901953,0.000901953
11,2692.84,0.90158,0.47968,1.00473,0.88387,0.8445,0.87835,0.62355,0.84617,0.4151,1.01031,0.000863281,0.000863281,0.000863281
12,2933.68,0.89755,0.47511,1.00409,0.88099,0.8469,0.87849,0.62329,0.8467,0.42292,1.00392,0.000824609,0.000824609,0.000824609
13,3174.48,0.89321,0.46828,1.00262,0.89119,0.84789,0.8826,0.62939,0.83746,0.41088,1.00443,0.000785938,0.000785938,0.000785938
14,3415.66,0.88856,0.4615,0.999,0.88255,0.85585,0.88331,0.62943,0.83441,0.4085,1.00302,0.000747266,0.000747266,0.000747266
15,3656.57,0.87962,0.45549,0.9965,0.88827,0.84681,0.88367,0.62915,0.83661,0.40415,1.00719,0.000708594,0.000708594,0.000708594
16,3897.51,0.8764,0.45159,0.99665,0.89085,0.85921,0.88683,0.63325,0.82927,0.3973,1.00207,0.000669922,0.000669922,0.000669922
17,4138.14,0.87532,0.44863,0.99599,0.88829,0.86316,0.88965,0.63531,0.83273,0.39325,1.00871,0.00063125,0.00063125,0.00063125
18,4378.52,0.87238,0.44503,0.99615,0.89311,0.86766,0.89303,0.63802,0.82739,0.39823,1.00849,0.000592578,0.000592578,0.000592578
19,4618.26,0.86489,0.43787,0.99076,0.8834,0.85983,0.88982,0.63885,0.82276,0.38453,1.00102,0.000553906,0.000553906,0.000553906
20,4858.65,0.86119,0.43297,0.98896,0.89511,0.86534,0.89365,0.64084,0.82409,0.38395,1.00076,0.000515234,0.000515234,0.000515234
21,5099.1,0.86022,0.42881,0.9892,0.89587,0.86893,0.89159,0.64138,0.82084,0.38059,1.00213,0.000476562,0.000476562,0.000476562
22,5339.78,0.85602,0.42344,0.98669,0.89486,0.86705,0.89376,0.64218,0.81718,0.37776,1.00133,0.000437891,0.000437891,0.000437891
23,5577.31,0.82612,0.39331,0.99504,0.89041,0.87204,0.89252,0.64243,0.81861,0.37664,1.00041,0.000399219,0.000399219,0.000399219
24,5812.46,0.82079,0.38749,0.99078,0.89713,0.87273,0.89606,0.64634,0.81391,0.37133,0.9966,0.000360547,0.000360547,0.000360547
25,6047.1,0.81395,0.38037,0.98953,0.89399,0.87369,0.89434,0.64501,0.81353,0.36926,0.99758,0.000321875,0.000321875,0.000321875
26,6281.34,0.80776,0.37469,0.98612,0.89975,0.8668,0.89458,0.64735,0.8117,0.36656,1.0001,0.000283203,0.000283203,0.000283203
27,6515.29,0.80213,0.37043,0.9862,0.89894,0.87271,0.89464,0.64788,0.81344,0.36705,1.00572,0.000244531,0.000244531,0.000244531
28,6749.56,0.79716,0.36352,0.98151,0.89871,0.87509,0.89729,0.65014,0.81089,0.36274,0.99853,0.000205859,0.000205859,0.000205859
29,6983.71,0.79197,0.35855,0.9765,0.89609,0.87322,0.89563,0.64976,0.81138,0.36061,0.99784,0.000167188,0.000167188,0.000167188
30,7218.3,0.78575,0.35385,0.9766,0.89935,0.87272,0.89507,0.6491,0.81223,0.36098,0.99994,0.000128516,0.000128516,0.000128516
31,7453.52,0.7812,0.34889,0.97468,0.8976,0.87341,0.8958,0.64952,0.81256,0.35928,1.00198,8.98437e-05,8.98437e-05,8.98437e-05
32,7687.69,0.77687,0.34462,0.97349,0.89802,0.87169,0.89492,0.64894,0.81316,0.35855,1.00102,5.11719e-05,5.11719e-05,5.11719e-05
